root - INFO - CSV file initialized.
root - INFO - Cannot read from camera
root - INFO - Live video processing ended.
root - INFO - CSV file closed.
root - INFO - CSV file initialized.
root - INFO - Frame 186: Aruco ID 1 detected with distance 2.3267132770728027, yaw angle -5.394417657904228, pitch angle 90.179395912326, roll angle 9.650156098493172.
root - INFO - Frame 187: Aruco ID 1 detected with distance 2.4698851043717087, yaw angle -5.37453429118969, pitch angle 89.81899585230087, roll angle -3.8524180346978842.
root - INFO - Frame 188: Aruco ID 1 detected with distance 2.2963250708838125, yaw angle -5.4037275865399295, pitch angle 88.12234934541596, roll angle 9.632186477620515.
root - INFO - Frame 189: Aruco ID 1 detected with distance 2.294668025639769, yaw angle -5.3848430766973365, pitch angle 88.11212619221058, roll angle 9.62469537885292.
root - INFO - Frame 190: Aruco ID 1 detected with distance 2.4523868200806804, yaw angle -5.394770000464291, pitch angle 89.4529542216948, roll angle 0.2674079168041932.
root - INFO - Frame 191: Aruco ID 1 detected with distance 2.3310885049350656, yaw angle -5.384492300472942, pitch angle 89.61569998368614, roll angle 5.516685451607998.
root - INFO - Frame 192: Aruco ID 1 detected with distance 2.2926471454518196, yaw angle -5.394646545712618, pitch angle 86.96520433941937, roll angle 12.920410468340632.
root - INFO - Frame 193: Aruco ID 1 detected with distance 2.2926471454518196, yaw angle -5.394646545712618, pitch angle 86.96520433941937, roll angle 12.920410468340632.
root - INFO - Frame 194: Aruco ID 1 detected with distance 2.2974817305996726, yaw angle -5.384902585358134, pitch angle 89.65010130397592, roll angle 9.175768679274624.
root - INFO - Frame 195: Aruco ID 1 detected with distance 2.2974817305996726, yaw angle -5.384902585358134, pitch angle 89.65010130397592, roll angle 9.175768679274624.
root - INFO - Frame 196: Aruco ID 1 detected with distance 2.290547478018083, yaw angle -5.393938454960306, pitch angle 89.08078377594171, roll angle 6.11021486837999.
root - INFO - Frame 197: Aruco ID 1 detected with distance 2.365751971190615, yaw angle -5.375050957395445, pitch angle 88.24778135607836, roll angle 5.632841388080174.
root - INFO - Frame 198: Aruco ID 1 detected with distance 2.3267937306779416, yaw angle -5.391177907359804, pitch angle 86.65176719858734, roll angle -20.522417245347008.
root - INFO - Frame 199: Aruco ID 1 detected with distance 2.2952526510356552, yaw angle -5.384860548433153, pitch angle 87.83810012718516, roll angle 9.366825874510385.
root - INFO - Frame 200: Aruco ID 1 detected with distance 2.3312612237174974, yaw angle -5.384476938160162, pitch angle 89.61920446312948, roll angle 5.501210873540231.
root - INFO - Frame 201: Aruco ID 1 detected with distance 2.2963250708838125, yaw angle -5.4037275865399295, pitch angle 88.12234934541596, roll angle 9.632186477620515.
root - INFO - Frame 202: Aruco ID 1 detected with distance 2.3201894769827516, yaw angle -5.385306166439136, pitch angle 87.56181625622952, roll angle 13.522570723900264.
root - INFO - Frame 203: Aruco ID 1 detected with distance 2.2926471454518196, yaw angle -5.394646545712618, pitch angle 86.96520433941937, roll angle 12.920410468340632.
root - INFO - Frame 204: Aruco ID 1 detected with distance 2.3264061096949704, yaw angle -5.375508876217708, pitch angle 88.37213176920899, roll angle 9.81788187960481.
root - INFO - Frame 205: Aruco ID 1 detected with distance 2.3267132770728027, yaw angle -5.394417657904228, pitch angle 90.179395912326, roll angle 9.650156098493172.
root - INFO - Frame 206: Aruco ID 1 detected with distance 2.3575658214950663, yaw angle -5.383992939303255, pitch angle 89.72751382710298, roll angle 1.0015898899681708.
root - INFO - Frame 207: Aruco ID 1 detected with distance 2.3575658214950663, yaw angle -5.383992939303255, pitch angle 89.72751382710298, roll angle 1.0015898899681708.
