Frame ID,QR id,QR 2D,QR 3D
194,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 478.]]","[2.2974817305996726, -5.384902585358134, 89.65010130397592, 9.175768679274624]"
195,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 478.]]","[2.2974817305996726, -5.384902585358134, 89.65010130397592, 9.175768679274624]"
196,1,"[[834. 478.], [835. 510.], [803. 509.], [801. 478.]]","[2.290547478018083, -5.393938454960306, 89.08078377594171, 6.11021486837999]"
197,1,"[[834. 478.], [835. 510.], [804. 510.], [802. 479.]]","[2.365751971190615, -5.375050957395445, 88.24778135607836, 5.632841388080174]"
198,1,"[[833. 478.], [835. 510.], [803. 510.], [802. 478.]]","[2.3267937306779416, -5.391177907359804, 86.65176719858734, -20.522417245347008]"
199,1,"[[834. 478.], [835. 510.], [804. 510.], [801. 478.]]","[2.2952526510356552, -5.384860548433153, 87.83810012718516, 9.366825874510385]"
200,1,"[[834. 478.], [835. 510.], [803. 509.], [802. 478.]]","[2.3312612237174974, -5.384476938160162, 89.61920446312948, 5.501210873540231]"
201,1,"[[833. 478.], [835. 510.], [803. 509.], [801. 478.]]","[2.2963250708838125, -5.4037275865399295, 88.12234934541596, 9.632186477620515]"
202,1,"[[833. 478.], [835. 510.], [804. 510.], [802. 478.]]","[2.3201894769827516, -5.385306166439136, 87.56181625622952, 13.522570723900264]"
203,1,"[[833. 478.], [835. 510.], [804. 510.], [801. 478.]]","[2.2926471454518196, -5.394646545712618, 86.96520433941937, 12.920410468340632]"
204,1,"[[834. 478.], [835. 510.], [804. 510.], [802. 478.]]","[2.3264061096949704, -5.375508876217708, 88.37213176920899, 9.81788187960481]"
205,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 478.]]","[2.3267132770728027, -5.394417657904228, 90.179395912326, 9.650156098493172]"
206,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
207,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
208,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 479.]]","[2.366741353079523, -5.393960665915188, 90.07502894997519, 5.492325538280112]"
209,1,"[[834. 480.], [834. 511.], [803. 510.], [802. 479.]]","[2.367050671282085, -5.393924373399045, 90.55716047321258, 5.268312153970696]"
210,1,"[[834. 480.], [834. 511.], [802. 510.], [802. 479.]]","[2.357613807208101, -5.402908399409824, 91.58347558566382, 0.7462320912213235]"
211,1,"[[834. 480.], [833. 512.], [802. 510.], [802. 479.]]","[2.3653813651006512, -5.412868591801953, 91.90206286641961, 5.349779142816321]"
212,1,"[[834. 480.], [833. 512.], [802. 510.], [802. 479.]]","[2.3653813651006512, -5.412868591801953, 91.90206286641961, 5.349779142816321]"
213,1,"[[834. 480.], [833. 512.], [802. 510.], [801. 479.]]","[2.328511004268654, -5.4222791789789255, 91.45555497149813, 5.2501040858824455]"
214,1,"[[834. 481.], [833. 512.], [802. 510.], [802. 479.]]","[2.36513881001036, -5.412838443438176, 92.41861782363527, 5.0310988013435685]"
215,1,"[[834. 480.], [833. 512.], [802. 510.], [801. 479.]]","[2.328511004268654, -5.4222791789789255, 91.45555497149813, 5.2501040858824455]"
